arquivo,periodo_num,periodo,slug,titulo,autor,data_obra,licenca,credito,largura,altura,original_wxh,arquivo_commons,pagina_commons,resolvido_via,descricao
01-oriente-proximo_estandarte-de-ur.jpg,01,oriente-proximo,estandarte-de-ur,Estandarte de Ur,Denis Bourez from France,2013-04-27 12:59,CC BY 2.0,"British Museum, London Uploaded by SunOfErat",2000,1500,4288x3216,"Denis_Bourez_-_British_Museum,_London_(8747049029)_(2).jpg","https://commons.wikimedia.org/wiki/File:Denis_Bourez_-_British_Museum,_London_(8747049029)_(2).jpg",wiki,"Standard of Ur, British Museum, London."
01-oriente-proximo_estela-dos-abutres.jpg,01,oriente-proximo,estela-dos-abutres,Estela dos Abutres,"Ernest de Sarzec - Choquin de Sarzec, Ernest (1832-1901)",1886-01-01,Public domain,Découvertes en Chaldée Published in 1886,1079,573,1079x573,Stele of the vultures (vultures detail).jpg,https://commons.wikimedia.org/wiki/File:Stele_of_the_vultures_(vultures_detail).jpg,search,Stele of the vultures (vultures detail)
01-oriente-proximo_estela-naram-sin.jpg,01,oriente-proximo,estela-naram-sin,Estela da Vitória de Naram-Sin,Shonagon,2022-09-27,CC0,Own work,2340,4032,2340x4032,Stèle_de_Naram-Sin_-_Musée_du_Louvre_Antiquités_orientales_SB_4_;_AS_6065.jpg,https://commons.wikimedia.org/wiki/File:St%C3%A8le_de_Naram-Sin_-_Mus%C3%A9e_du_Louvre_Antiquit%C3%A9s_orientales_SB_4_;_AS_6065.jpg,wiki,
01-oriente-proximo_gudea.jpg,01,oriente-proximo,gudea,Estátua de Gudea de Lagash,Jastrow,2011,Public domain,Own work,2600,3900,2600x3900,Gudea_of_Lagash_Girsu.jpg,https://commons.wikimedia.org/wiki/File:Gudea_of_Lagash_Girsu.jpg,wiki,"Statue of Gudea I, dedicated to the god Ningishzida; 2120 BC (the Neo-Sumerian period); diorite; height: 46 cm, width: 33 cm, depth: 22.5 cm; Louvre"
01-oriente-proximo_lamassu.jpg,01,oriente-proximo,lamassu,Lamassu (touro alado assírio),MohammadHuzam,2018-02-06 11:04:57,CC BY-SA 4.0,Own work,2000,1125,5312x2988,Iraqi_Museum.jpg,https://commons.wikimedia.org/wiki/File:Iraqi_Museum.jpg,wiki,"Assyrian Hall at the Iraqi Museum, Baghdad, Iraq"
01-oriente-proximo_mascara-de-tutancamon.jpg,01,oriente-proximo,mascara-de-tutancamon,Máscara de Tutancâmon,Roland Unger,2016-01-01,Public domain,Own work,1600,2000,1600x2000,CairoEgMuseumTaaMaskMostlyPhotographed.jpg,https://commons.wikimedia.org/wiki/File:CairoEgMuseumTaaMaskMostlyPhotographed.jpg,wiki,"Since January 1, 2016 it is possible again to take photographs in the Egyptian Museum in Cairo. The funerary mask of Tutankhamun is certainly the most demanded exhibit."
01-oriente-proximo_paleta-de-narmer.jpg,01,oriente-proximo,paleta-de-narmer,Paleta de Narmer,anonymous,"between circa 31 st century and circa 30 th century BC Early Dynastic Period of Egypt (3032 BC date QS:P,-3032-00-00T00:00:00Z/9 –2707 BC date QS:P,-2707-00-00T00:00:00Z/9 ) / First Dynasty of Egypt (3150 BC date QS:P,-3150-00-00T00:00:00Z/9 –circa 2890 BC date QS:P,-2890-00-00T00:00:00Z/9,P1480,Q5727902 ) / Predynastic Period of Egypt (65 th century BC date QS:P,-6450-00-00T00:00:00Z/7 –circa 3100 BC date QS:P,-3100-00-00T00:00:00Z/9,P1480,Q5727902 )",Public domain,http://www.studyblue.com/notes/note/n/art-midterm/deck/1189362,2566,1808,2566x1808,Narmer_Palette.jpg,https://commons.wikimedia.org/wiki/File:Narmer_Palette.jpg,wiki,The Narmer Palette
01-oriente-proximo_papiro-de-ani.jpg,01,oriente-proximo,papiro-de-ani,Papiro de Ani (Livro dos Mortos),Photographed by the British Museum; original artist unknown,Photograph published 2001; artwork created c. 1300 BC,Public domain,Eternal Egypt: Masterworks of Ancient Art from the British Museum by Edna R. Russmann,3364,1732,3364x1732,BD_Weighing_of_the_Heart.jpg,https://commons.wikimedia.org/wiki/File:BD_Weighing_of_the_Heart.jpg,wiki,"The Weighing of the Heart from the Book of the Dead of Ani. At left, Ani and his wife Tutu enter the assemblage of gods. At center, Anubis weighs Ani's heart against the feather of Maat, observed by the goddesses Renenutet and Meshkenet, the god Shay, and Ani's own ba . At right, the monster Ammut, who will devour Ani's soul if he is unworthy, awaits the verdict, while the god Thoth prepares to re"
01-oriente-proximo_pedra-de-roseta.jpg,01,oriente-proximo,pedra-de-roseta,Pedra de Roseta,Hans Hillewaert,21 November 2007,CC BY-SA 4.0,Own work,3665,4288,3665x4288,Rosetta_Stone.JPG,https://commons.wikimedia.org/wiki/File:Rosetta_Stone.JPG,wiki,The Rosetta Stone in the British Museum .
01-oriente-proximo_persepolis.jpg,01,oriente-proximo,persepolis,Relevos de Persépolis (Apadana),Diego Delso,2016-09-24 11:02:55,CC BY-SA 4.0,Own work,2000,1503,6961x5231,"Persépolis, Irán, 2016-09-24, DD 53.jpg","https://commons.wikimedia.org/wiki/File:Pers%C3%A9polis,_Ir%C3%A1n,_2016-09-24,_DD_53.jpg",search,This is a photo of a monument in Iran identified by the ID
